brand,name,price,nam_sx,origin,type_car,km_traveled,gear,condition,fuel
Huyndai,Hyundai Santa Fe 2020,875 triệu,Năm SX 2020,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 10 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2019,309 triệu,Năm SX 2019,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 130.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2017,250 triệu,Năm SX 2017,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 11.200 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2016,185 triệu,Năm SX 2016,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 12.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2016,180 triệu,Năm SX 2016,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 75.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai i30 2008,248 triệu,Năm SX 2008,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 90.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Grand i10 2019,275 triệu,Năm SX 2019,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 70.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai i30 2013,340 triệu,Năm SX 2013,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 65.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2022,370 triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 86.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2019,357 triệu,Năm SX 2019,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 36.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Elantra 2014,320 triệu,Năm SX 2014,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 5.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2022,480 triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 28.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Santa Fe 2022,985 triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 6.600 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Kona 2020,520 triệu,Năm SX 2020,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 10.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Kona 2021,585 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 85.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Creta 2022,660 triệu,Năm SX 2022,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 80.234 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Santa Fe 2015,515 triệu,Năm SX 2015,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 46.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai i30 2012,320 triệu,Năm SX 2012,Xuất xứ Trong nước,Kiểu dáng Hatchback,Km đã đi 53.355 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Elantra 2021,498 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 61.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Elantra 2021,575 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 65.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2012,265 triệu,Năm SX 2012,Xuất xứ Nhập khẩu,Kiểu dáng SUV,Km đã đi 77.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2021,435 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 1.100 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Accent 2023,4xx triệu,Năm SX 2023,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 3.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Grand i10 2017,285.6 triệu,Năm SX 2017,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 12.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Grand Starex 2013,420 triệu,Năm SX 2013,Xuất xứ Trong nước,Kiểu dáng Sedan,Km đã đi 60.000 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai County 2022,1 tỉ 480 triệu,Năm SX 2022,Xuất xứ Trong nước,Kiểu dáng SUV,Km đã đi 80.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Diesel
Huyndai,Hyundai Grand i10 2021,318 triệu,Năm SX 2021,Xuất xứ Nhập khẩu,Kiểu dáng Sedan,Km đã đi 100.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai Santa Fe 2.2L Dầu đặc biệt 2018,775 triệu,Năm SX 2018,Xuất xứ Nhập khẩu,Kiểu dáng Van/Minivan,Km đã đi 76.130 km,Hộp số Số tay,Tình trạng Xe cũ,Nhiên liệu Xăng
Huyndai,Hyundai i20 2011,225 triệu,Năm SX 2011,Xuất xứ Nhập khẩu,Kiểu dáng Hatchback,Km đã đi 67.000 km,Hộp số Số tự động,Tình trạng Xe cũ,Nhiên liệu Xăng
